id,text_snippet,labels,preprocessed_text
325,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution data compliance team concerned compliance im sure data pipeline solves use case still evaluating
326,Is your solution SOC2 certified? Our team is concerned about compliance.,['Security'],solution soc certified team concerned compliance
327,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
328,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution data compliance team concerned compliance im sure remote monitoring solves use case still evaluating
329,"We like your product, but MediPlus offers better automation.",['Competition'],like product mediplus offer better automation
330,"We like your product, but MediPlus offers better automation. The AI engine looks great, but the subscription cost is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better automation ai engine look great subscription cost high im sure remote monitoring solves use case still evaluating
331,"We like your product, but CompetitorZ offers better analytics. The analytics looks great, but the budget is too high.","['Competition', 'Pricing Discussion']",like product competitorz offer better analytics analytics look great budget high
332,"We like your product, but CompetitorY offers better AI engine. The data pipeline looks great, but the subscription cost is too high.","['Competition', 'Pricing Discussion']",like product competitory offer better ai engine data pipeline look great subscription cost high
333,"We like your product, but MediPlus offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product mediplus offer better remote monitoring solution soc certified team concerned compliance im sure remote monitoring solves use case still evaluating
334,"We like your product, but CompetitorX offers better AI engine. The data pipeline looks great, but the pricing model is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine data pipeline look great pricing model high im sure automation solves use case still evaluating
335,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution privacy policy team concerned compliance im sure ai engine solves use case still evaluating
336,"The data pipeline looks great, but the subscription cost is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",data pipeline look great subscription cost high im sure automation solves use case still evaluating
337,"We like your product, but CompetitorY offers better automation. The AI engine looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitory offer better automation ai engine look great discount high im sure analytics solves use case still evaluating
338,Is your solution encryption? Our team is concerned about compliance.,['Security'],solution encryption team concerned compliance
339,"The remote monitoring looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",remote monitoring look great budget high solution data compliance team concerned compliance
340,"The AI engine looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",ai engine look great pricing model high solution soc certified team concerned compliance im sure data pipeline solves use case still evaluating
341,"We like your product, but TechCorp offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better data pipeline solution data compliance team concerned compliance
342,"We like your product, but TechCorp offers better AI engine.",['Competition'],like product techcorp offer better ai engine
343,"We like your product, but CompetitorX offers better AI engine. The data pipeline looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine data pipeline look great discount high solution privacy policy team concerned compliance im sure ai engine solves use case still evaluating
344,I’m not sure if automation solves our use case. We’re still evaluating.,['Objection'],im sure automation solves use case still evaluating
345,"We like your product, but MediPlus offers better AI engine. The AI engine looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better ai engine ai engine look great budget high solution data compliance team concerned compliance
346,"The AI engine looks great, but the budget is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",ai engine look great budget high im sure automation solves use case still evaluating
347,"We like your product, but CompetitorX offers better analytics. The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better analytics automation look great discount high solution encryption team concerned compliance im sure automation solves use case still evaluating
348,Is your solution privacy policy? Our team is concerned about compliance.,['Security'],solution privacy policy team concerned compliance
349,"We like your product, but CompetitorX offers better remote monitoring. The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better remote monitoring automation look great discount high solution encryption team concerned compliance im sure analytics solves use case still evaluating
350,"The analytics looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",analytics look great discount high im sure analytics solves use case still evaluating
351,Is your solution privacy policy? Our team is concerned about compliance.,['Security'],solution privacy policy team concerned compliance
352,"We like your product, but TechCorp offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better analytics solution soc certified team concerned compliance
353,I’m not sure if automation solves our use case. We’re still evaluating.,['Objection'],im sure automation solves use case still evaluating
354,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
355,"The analytics looks great, but the discount is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",analytics look great discount high im sure remote monitoring solves use case still evaluating
356,"We like your product, but MediPlus offers better remote monitoring. The data pipeline looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better remote monitoring data pipeline look great discount high im sure data pipeline solves use case still evaluating
357,"The AI engine looks great, but the pricing model is too high.",['Pricing Discussion'],ai engine look great pricing model high
358,"The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",automation look great budget high solution encryption team concerned compliance im sure analytics solves use case still evaluating
359,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorz offer better remote monitoring solution data compliance team concerned compliance im sure remote monitoring solves use case still evaluating
360,"The AI engine looks great, but the budget is too high.",['Pricing Discussion'],ai engine look great budget high
361,"The remote monitoring looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",remote monitoring look great discount high solution encryption team concerned compliance
362,"We like your product, but CompetitorX offers better remote monitoring. The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better remote monitoring ai engine look great budget high solution privacy policy team concerned compliance im sure remote monitoring solves use case still evaluating
363,"We like your product, but MediPlus offers better analytics. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security']",like product mediplus offer better analytics solution encryption team concerned compliance
364,"We like your product, but MediPlus offers better AI engine. The analytics looks great, but the pricing model is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better ai engine analytics look great pricing model high im sure automation solves use case still evaluating
365,I’m not sure if automation solves our use case. We’re still evaluating.,['Objection'],im sure automation solves use case still evaluating
366,"The analytics looks great, but the pricing model is too high.",['Pricing Discussion'],analytics look great pricing model high
367,"The automation looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",automation look great pricing model high solution encryption team concerned compliance im sure remote monitoring solves use case still evaluating
368,"The remote monitoring looks great, but the budget is too high.",['Pricing Discussion'],remote monitoring look great budget high
369,"We like your product, but CompetitorZ offers better data pipeline.",['Competition'],like product competitorz offer better data pipeline
370,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better automation data pipeline look great pricing model high solution data compliance team concerned compliance
371,"We like your product, but TechCorp offers better analytics. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product techcorp offer better analytics solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
372,"We like your product, but MediPlus offers better automation. The analytics looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product mediplus offer better automation analytics look great subscription cost high solution privacy policy team concerned compliance im sure ai engine solves use case still evaluating
373,"We like your product, but TechCorp offers better remote monitoring. The data pipeline looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product techcorp offer better remote monitoring data pipeline look great budget high im sure data pipeline solves use case still evaluating
374,"We like your product, but CompetitorX offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitorx offer better remote monitoring data pipeline look great pricing model high solution soc certified team concerned compliance
375,"We like your product, but CompetitorZ offers better automation. The remote monitoring looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitorz offer better automation remote monitoring look great subscription cost high solution privacy policy team concerned compliance
376,"The AI engine looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",ai engine look great discount high im sure data pipeline solves use case still evaluating
377,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
378,"We like your product, but CompetitorZ offers better analytics. The AI engine looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorz offer better analytics ai engine look great discount high solution soc certified team concerned compliance im sure remote monitoring solves use case still evaluating
379,"The remote monitoring looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",remote monitoring look great budget high solution soc certified team concerned compliance
380,"The analytics looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",analytics look great subscription cost high solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
381,"We like your product, but CompetitorZ offers better AI engine. The remote monitoring looks great, but the pricing model is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorz offer better ai engine remote monitoring look great pricing model high im sure analytics solves use case still evaluating
382,"The AI engine looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",ai engine look great subscription cost high solution encryption team concerned compliance
383,"We like your product, but CompetitorX offers better analytics. The AI engine looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better analytics ai engine look great subscription cost high solution encryption team concerned compliance im sure analytics solves use case still evaluating
384,"The data pipeline looks great, but the pricing model is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",data pipeline look great pricing model high im sure ai engine solves use case still evaluating
385,"We like your product, but CompetitorX offers better analytics. The remote monitoring looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitorx offer better analytics remote monitoring look great discount high solution privacy policy team concerned compliance
386,"The automation looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",automation look great budget high solution privacy policy team concerned compliance
387,"We like your product, but MediPlus offers better automation. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product mediplus offer better automation im sure ai engine solves use case still evaluating
388,"The analytics looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",analytics look great discount high solution soc certified team concerned compliance im sure automation solves use case still evaluating
389,"We like your product, but CompetitorX offers better AI engine. The AI engine looks great, but the pricing model is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine ai engine look great pricing model high im sure ai engine solves use case still evaluating
390,Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
391,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure data pipeline solves use case still evaluating
392,"The automation looks great, but the pricing model is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great pricing model high im sure remote monitoring solves use case still evaluating
393,"We like your product, but CompetitorZ offers better analytics. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorz offer better analytics solution privacy policy team concerned compliance im sure ai engine solves use case still evaluating
394,"The AI engine looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",ai engine look great pricing model high solution privacy policy team concerned compliance im sure remote monitoring solves use case still evaluating
395,"We like your product, but MediPlus offers better data pipeline. The remote monitoring looks great, but the discount is too high.","['Competition', 'Pricing Discussion']",like product mediplus offer better data pipeline remote monitoring look great discount high
396,"We like your product, but CompetitorY offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security']",like product competitory offer better remote monitoring solution encryption team concerned compliance
397,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better automation data pipeline look great subscription cost high solution privacy policy team concerned compliance
398,"We like your product, but CompetitorX offers better AI engine. The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine automation look great discount high solution encryption team concerned compliance im sure remote monitoring solves use case still evaluating
399,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
400,"The AI engine looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",ai engine look great pricing model high solution privacy policy team concerned compliance im sure data pipeline solves use case still evaluating
401,"The remote monitoring looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",remote monitoring look great subscription cost high solution data compliance team concerned compliance
402,"We like your product, but CompetitorY offers better automation. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitory offer better automation solution soc certified team concerned compliance im sure analytics solves use case still evaluating
403,"We like your product, but CompetitorX offers better AI engine. The AI engine looks great, but the discount is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine ai engine look great discount high im sure automation solves use case still evaluating
404,"We like your product, but CompetitorY offers better remote monitoring.",['Competition'],like product competitory offer better remote monitoring
405,Is your solution data compliance? Our team is concerned about compliance.,['Security'],solution data compliance team concerned compliance
406,"We like your product, but MediPlus offers better remote monitoring. The AI engine looks great, but the pricing model is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better remote monitoring ai engine look great pricing model high im sure remote monitoring solves use case still evaluating
407,"We like your product, but TechCorp offers better analytics. The analytics looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product techcorp offer better analytics analytics look great pricing model high solution privacy policy team concerned compliance
408,"The remote monitoring looks great, but the pricing model is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",remote monitoring look great pricing model high im sure ai engine solves use case still evaluating
409,"We like your product, but CompetitorX offers better remote monitoring. The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better remote monitoring automation look great budget high solution encryption team concerned compliance im sure ai engine solves use case still evaluating
410,"We like your product, but CompetitorY offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitory offer better automation solution data compliance team concerned compliance im sure ai engine solves use case still evaluating
411,"The analytics looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",analytics look great discount high solution data compliance team concerned compliance im sure analytics solves use case still evaluating
412,"The AI engine looks great, but the discount is too high.",['Pricing Discussion'],ai engine look great discount high
413,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure ai engine solves use case still evaluating
414,Is your solution data compliance? Our team is concerned about compliance.,['Security'],solution data compliance team concerned compliance
415,"We like your product, but TechCorp offers better data pipeline. The remote monitoring looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product techcorp offer better data pipeline remote monitoring look great pricing model high solution encryption team concerned compliance
416,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product competitorz offer better remote monitoring solution soc certified team concerned compliance
417,"We like your product, but CompetitorX offers better remote monitoring. The automation looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitorx offer better remote monitoring automation look great discount high solution privacy policy team concerned compliance
418,"We like your product, but CompetitorZ offers better data pipeline.",['Competition'],like product competitorz offer better data pipeline
419,"We like your product, but TechCorp offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better ai engine solution soc certified team concerned compliance
420,"We like your product, but CompetitorY offers better AI engine. The automation looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitory offer better ai engine automation look great budget high solution soc certified team concerned compliance
421,"We like your product, but CompetitorZ offers better automation. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product competitorz offer better automation im sure analytics solves use case still evaluating
422,"We like your product, but MediPlus offers better AI engine. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product mediplus offer better ai engine im sure data pipeline solves use case still evaluating
423,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the subscription cost is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better automation data pipeline look great subscription cost high im sure automation solves use case still evaluating
424,"We like your product, but CompetitorY offers better remote monitoring. The automation looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitory offer better remote monitoring automation look great budget high im sure data pipeline solves use case still evaluating
425,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
426,"We like your product, but CompetitorX offers better AI engine. The data pipeline looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitorx offer better ai engine data pipeline look great discount high solution encryption team concerned compliance
427,"The analytics looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",analytics look great pricing model high im sure data pipeline solves use case still evaluating
428,"We like your product, but CompetitorY offers better automation. The AI engine looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitory offer better automation ai engine look great subscription cost high solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
429,"We like your product, but CompetitorY offers better remote monitoring. The remote monitoring looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitory offer better remote monitoring remote monitoring look great pricing model high solution encryption team concerned compliance
430,"The automation looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great budget high im sure data pipeline solves use case still evaluating
431,"We like your product, but CompetitorX offers better data pipeline. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorx offer better data pipeline solution encryption team concerned compliance im sure analytics solves use case still evaluating
432,"We like your product, but TechCorp offers better analytics. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product techcorp offer better analytics solution encryption team concerned compliance im sure ai engine solves use case still evaluating
433,I’m not sure if automation solves our use case. We’re still evaluating.,['Objection'],im sure automation solves use case still evaluating
434,"We like your product, but TechCorp offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better data pipeline solution data compliance team concerned compliance
435,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
436,"The data pipeline looks great, but the budget is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",data pipeline look great budget high im sure automation solves use case still evaluating
437,"The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",automation look great subscription cost high solution encryption team concerned compliance
438,"We like your product, but CompetitorY offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security']",like product competitory offer better data pipeline solution privacy policy team concerned compliance
439,"The data pipeline looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",data pipeline look great budget high solution data compliance team concerned compliance
440,"We like your product, but CompetitorX offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better remote monitoring data pipeline look great pricing model high solution data compliance team concerned compliance im sure data pipeline solves use case still evaluating
441,"We like your product, but MediPlus offers better data pipeline. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security']",like product mediplus offer better data pipeline solution encryption team concerned compliance
442,"We like your product, but CompetitorX offers better data pipeline. The automation looks great, but the budget is too high.","['Competition', 'Pricing Discussion']",like product competitorx offer better data pipeline automation look great budget high
443,"We like your product, but CompetitorY offers better remote monitoring. The AI engine looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitory offer better remote monitoring ai engine look great subscription cost high solution data compliance team concerned compliance
444,"The remote monitoring looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",remote monitoring look great discount high im sure analytics solves use case still evaluating
445,"We like your product, but TechCorp offers better analytics.",['Competition'],like product techcorp offer better analytics
446,"We like your product, but CompetitorY offers better AI engine. The AI engine looks great, but the subscription cost is too high.","['Competition', 'Pricing Discussion']",like product competitory offer better ai engine ai engine look great subscription cost high
447,"The remote monitoring looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",remote monitoring look great discount high solution soc certified team concerned compliance im sure remote monitoring solves use case still evaluating
448,"The automation looks great, but the subscription cost is too high.",['Pricing Discussion'],automation look great subscription cost high
449,"We like your product, but MediPlus offers better AI engine. The analytics looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better ai engine analytics look great discount high solution encryption team concerned compliance
450,"The AI engine looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",ai engine look great subscription cost high solution privacy policy team concerned compliance im sure automation solves use case still evaluating
451,"We like your product, but CompetitorY offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitory offer better analytics solution soc certified team concerned compliance im sure ai engine solves use case still evaluating
452,"We like your product, but MediPlus offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product mediplus offer better remote monitoring solution soc certified team concerned compliance im sure automation solves use case still evaluating
453,"We like your product, but TechCorp offers better remote monitoring. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product techcorp offer better remote monitoring im sure remote monitoring solves use case still evaluating
454,"The data pipeline looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",data pipeline look great budget high solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
455,"The remote monitoring looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",remote monitoring look great subscription cost high im sure ai engine solves use case still evaluating
456,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
457,"We like your product, but CompetitorX offers better remote monitoring. The data pipeline looks great, but the pricing model is too high.","['Competition', 'Pricing Discussion']",like product competitorx offer better remote monitoring data pipeline look great pricing model high
458,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
459,"We like your product, but TechCorp offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better remote monitoring solution encryption team concerned compliance
460,Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution encryption team concerned compliance im sure automation solves use case still evaluating
461,"We like your product, but MediPlus offers better analytics. The remote monitoring looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product mediplus offer better analytics remote monitoring look great budget high solution soc certified team concerned compliance im sure data pipeline solves use case still evaluating
462,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
463,"The AI engine looks great, but the pricing model is too high.",['Pricing Discussion'],ai engine look great pricing model high
