id,text_snippet,labels,extracted_entities
288,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
289,"We like your product, but TechCorp offers better analytics. The AI engine looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['analytics', 'AI engine', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['data compliance'], 'other_entities': []}"
290,"The remote monitoring looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
291,"We like your product, but CompetitorZ offers better AI engine. Is your solution encryption? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
292,"The remote monitoring looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
293,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
294,"We like your product, but TechCorp offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition","{'competitors': ['TechCorp'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
295,"We like your product, but TechCorp offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['TechCorp'], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
296,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
297,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
298,I’m not sure if analytics solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
299,"We like your product, but CompetitorY offers better remote monitoring.",rand,"{'competitors': ['CompetitorY'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
300,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
301,Is your solution SOC2 certified? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
302,"We like your product, but TechCorp offers better analytics.",Competition,"{'competitors': ['TechCorp'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
303,Is your solution data compliance? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
304,"The remote monitoring looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
305,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['budget'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
306,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
307,"The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
308,"The remote monitoring looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
309,"We like your product, but CompetitorX offers better data pipeline. The data pipeline looks great, but the discount is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
310,"We like your product, but CompetitorY offers better AI engine. The analytics looks great, but the subscription cost is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
311,"The analytics looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
312,"The data pipeline looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['encryption'], 'other_entities': []}"
313,"The remote monitoring looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
314,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
315,"We like your product, but MediPlus offers better data pipeline. The data pipeline looks great, but the pricing model is too high.","Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
316,"We like your product, but CompetitorX offers better data pipeline. The remote monitoring looks great, but the pricing model is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
317,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
318,"The AI engine looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
319,Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
320,"The remote monitoring looks great, but the discount is too high.",rand,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
321,"The analytics looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
322,"We like your product, but MediPlus offers better data pipeline. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['MediPlus'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
323,"The data pipeline looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
324,"We like your product, but CompetitorX offers better automation. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorX'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
325,"We like your product, but CompetitorZ offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorZ'], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
326,"We like your product, but TechCorp offers better data pipeline. The data pipeline looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
327,Is your solution privacy policy? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
328,"The automation looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
329,"The data pipeline looks great, but the discount is too high.",Pricing Discussion,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
330,"We like your product, but TechCorp offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition","{'competitors': ['TechCorp'], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
331,"We like your product, but TechCorp offers better remote monitoring. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['TechCorp'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
332,"We like your product, but TechCorp offers better analytics. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['TechCorp'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
333,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
334,I’m not sure if data pipeline solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
335,"The remote monitoring looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
336,"The AI engine looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
337,"The AI engine looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
338,"We like your product, but TechCorp offers better data pipeline. The analytics looks great, but the subscription cost is too high.","Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
339,"We like your product, but MediPlus offers better data pipeline. The AI engine looks great, but the pricing model is too high.","Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
340,"We like your product, but TechCorp offers better AI engine. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['TechCorp'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
341,"We like your product, but MediPlus offers better data pipeline.",rand,"{'competitors': ['MediPlus'], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
342,"We like your product, but CompetitorZ offers better data pipeline. The remote monitoring looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorZ'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['encryption'], 'other_entities': []}"
343,"The AI engine looks great, but the subscription cost is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
344,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution data compliance? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorZ'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
345,"The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
346,"We like your product, but CompetitorZ offers better AI engine. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
347,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
348,"The AI engine looks great, but the discount is too high.",Pricing Discussion,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
349,"We like your product, but CompetitorX offers better remote monitoring. The analytics looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
350,"We like your product, but TechCorp offers better AI engine. The automation looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['AI engine', 'remote monitoring', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['data compliance'], 'other_entities': []}"
351,"We like your product, but MediPlus offers better remote monitoring. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['MediPlus'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
352,Is your solution encryption? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
353,"We like your product, but CompetitorZ offers better analytics. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
354,"We like your product, but CompetitorX offers better AI engine. The AI engine looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
355,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
356,"We like your product, but CompetitorX offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorX'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
357,"The data pipeline looks great, but the budget is too high.",rand,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
358,"The analytics looks great, but the pricing model is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
359,"We like your product, but CompetitorX offers better analytics. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
360,"The automation looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
361,Is your solution encryption? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
362,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
363,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
364,"The data pipeline looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['encryption'], 'other_entities': []}"
365,"We like your product, but CompetitorZ offers better automation. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
366,"We like your product, but TechCorp offers better AI engine. The analytics looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['analytics', 'AI engine', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['encryption'], 'other_entities': []}"
367,Is your solution encryption? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
368,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
369,Is your solution encryption? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
370,"We like your product, but MediPlus offers better data pipeline. The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
371,"We like your product, but CompetitorZ offers better automation. The data pipeline looks great, but the pricing model is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'automation', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
372,"We like your product, but CompetitorX offers better data pipeline. Is your solution encryption? Our team is concerned about compliance.",rand,"{'competitors': ['CompetitorX'], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
373,Is your solution privacy policy? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
374,"We like your product, but MediPlus offers better automation. The remote monitoring looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['analytics', 'remote monitoring', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
375,"The automation looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
376,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
377,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
378,"We like your product, but CompetitorX offers better analytics. The automation looks great, but the subscription cost is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
379,"The data pipeline looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['encryption'], 'other_entities': []}"
380,"We like your product, but CompetitorZ offers better automation. The data pipeline looks great, but the budget is too high.",rand,"{'competitors': ['CompetitorZ'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
381,"We like your product, but CompetitorZ offers better data pipeline.",Competition,"{'competitors': ['CompetitorZ'], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
382,"We like your product, but CompetitorX offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorX'], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
383,"We like your product, but CompetitorY offers better analytics. The remote monitoring looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['analytics', 'remote monitoring', 'AI engine'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
384,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
385,"We like your product, but TechCorp offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['TechCorp'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
386,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
387,"We like your product, but CompetitorZ offers better automation. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
388,"The data pipeline looks great, but the discount is too high.",Pricing Discussion,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
389,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
390,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
391,"We like your product, but CompetitorY offers better remote monitoring. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
392,"We like your product, but CompetitorY offers better data pipeline. The automation looks great, but the subscription cost is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
393,"The remote monitoring looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['budget'], 'security_keywords': ['data compliance'], 'other_entities': []}"
394,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
395,"We like your product, but CompetitorZ offers better analytics. I’m not sure if automation solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorZ'], 'features': ['analytics', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
396,"We like your product, but TechCorp offers better remote monitoring. The analytics looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
397,"The data pipeline looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
398,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
399,"We like your product, but MediPlus offers better AI engine. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.",rand,"{'competitors': ['MediPlus'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
400,"We like your product, but MediPlus offers better automation. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['MediPlus'], 'features': ['analytics', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
